Nome_Cliente,Salario_Mensal,Score_Credito,Idade,Cidade,Estado,Metodo_Pagamento,Descricao_Pagamento,Nome_Loja,Categoria_Loja,Data_Compra,Hora_Compra,Final_de_Semana,Valor_Compra,Parcelas,Status_Pagamento
Theo Gomes,22473.83,440,67,Florianópolis,SC,Presencial,Venda física via maquininha no balcão da loja.,Barros,Livraria,2025-08-13,13:45,Não,743.72,9,Pendente
Ana Sophia Machado,12933.12,984,23,São José dos Campos,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Sales Marques S.A.,Loja de Roupas,2025-05-08,09:23,Não,2642.89,5,Pendente
Davi Miguel Mendes,15905.48,562,50,Porto Seguro,BA,Presencial,Venda física via maquininha no balcão da loja.,Gomes Rodrigues S/A,Farmácia,2026-02-20,16:13,Não,266.76,11,Atrasado
Léo Aparecida,5844.37,750,36,Búzios,RJ,Presencial,Venda física via maquininha no balcão da loja.,Nunes Lopes e Filhos,Restaurante,2025-12-15,08:21,Não,2926.9,12,Atrasado
Yuri Vasconcelos,17529.26,403,65,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Caldeira,Farmácia,2026-02-06,09:44,Não,978.12,1,Atrasado
João Miguel Gomes,23845.77,564,21,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cardoso Campos - EI,Livraria,2026-03-26,04:41,Não,363.88,6,Pendente
Mariah Correia,4703.48,995,45,Olinda,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Siqueira,Livraria,2025-07-31,18:12,Não,2718.49,11,Atrasado
João Vitor Melo,17613.77,775,79,Caruaru,PE,Presencial,Venda física via maquininha no balcão da loja.,da Paz Nunes S/A,Farmácia,2026-03-19,17:55,Não,1377.84,1,Pago
Ana Júlia Carvalho,20187.58,737,41,Joinville,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,da Paz Santos S.A.,Restaurante,2025-05-01,02:39,Não,1480.36,8,Pago
Bianca Monteiro,4569.57,903,37,Londrina,PR,Presencial,Venda física via maquininha no balcão da loja.,Almeida,Supermercado,2026-03-16,12:38,Não,1990.39,11,Pago
Bárbara Silveira,1973.62,627,67,Petrópolis,RJ,Presencial,Venda física via maquininha no balcão da loja.,da Rosa,Livraria,2025-12-05,15:32,Não,1817.77,3,Atrasado
Bianca Ribeiro,21534.66,583,57,Blumenau,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Cardoso,Restaurante,2026-02-01,23:15,Sim,649.55,1,Atrasado
Marcela Melo,23168.61,711,69,Porto Seguro,BA,Presencial,Venda física via maquininha no balcão da loja.,Pereira,Loja de Roupas,2025-07-06,11:30,Sim,2486.95,1,Pago
Kaique Vasconcelos,20158.51,871,77,Uberlândia,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Siqueira,Loja de Roupas,2025-04-07,07:59,Não,1204.68,12,Pendente
Milena Almeida,21864.85,504,48,Curitiba,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Ramos,Supermercado,2025-06-28,06:42,Sim,936.99,6,Pendente
Valentim Porto,8353.88,822,78,São Paulo,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Casa Grande Mendonça - ME,Farmácia,2025-04-09,19:55,Não,3296.32,8,Atrasado
Kamilly Vasconcelos,11571.68,692,73,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Leão Cirino S/A,Livraria,2025-05-19,17:49,Não,3056.05,2,Pago
Lucas Fonseca,2399.49,451,18,Curitiba,PR,Presencial,Venda física via maquininha no balcão da loja.,Vargas,Livraria,2025-05-28,11:16,Não,3010.35,10,Pendente
Vinícius Casa Grande,19511.99,354,23,Curitiba,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Ferreira e Filhos,Eletrodomésticos,2025-06-15,18:42,Sim,2476.79,7,Atrasado
Ísis Aparecida,1503.93,841,69,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Novaes e Filhos,Eletrodomésticos,2026-01-18,13:34,Sim,1380.68,10,Pendente
Lívia das Neves,8073.95,988,65,Ouro Preto,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Nascimento - ME,Farmácia,2025-11-07,23:40,Não,3476.82,5,Pendente
Ian Moura,1855.63,447,37,Niterói,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Gomes - EI,Loja de Roupas,2025-06-18,12:18,Não,2099.69,9,Pendente
Ana Júlia Fonseca,9838.84,593,52,Caxias do Sul,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Pires S/A,Restaurante,2025-10-20,02:11,Não,1783.73,6,Pendente
Raquel Alves,24671.08,662,71,Recife,PE,Presencial,Venda física via maquininha no balcão da loja.,Pastor,Supermercado,2025-07-17,14:44,Não,3179.27,1,Pendente
Esther Silva,9090.44,851,58,São José dos Campos,SP,Presencial,Venda física via maquininha no balcão da loja.,Rocha,Eletrodomésticos,2025-12-23,16:28,Não,3466.84,2,Atrasado
Luiz Otávio Silveira,18756.14,948,60,Londrina,PR,Presencial,Venda física via maquininha no balcão da loja.,Ramos,Livraria,2025-11-10,11:17,Não,1697.07,12,Pago
Joana Mendes,17584.44,414,25,Londrina,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Andrade,Restaurante,2026-03-28,21:36,Sim,881.62,9,Atrasado
Giovanna Borges,3511.94,624,59,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Rodrigues Ltda.,Supermercado,2025-05-09,17:26,Não,537.27,10,Pago
Ayla Viana,15005.79,927,74,Santos,SP,Presencial,Venda física via maquininha no balcão da loja.,Santos Ltda.,Eletrodomésticos,2025-08-31,16:23,Sim,3409.52,4,Atrasado
Benício Azevedo,9445.55,645,22,Curitiba,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Guerra e Filhos,Loja de Roupas,2025-04-21,02:52,Não,529.1,3,Pago
Dom Alves,14969.23,506,20,Búzios,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cirino da Cunha S.A.,Farmácia,2025-12-01,00:56,Não,3391.82,10,Atrasado
Gabriela Lopes,6145.16,557,45,Recife,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novais Castro S/A,Livraria,2025-09-28,21:51,Sim,2438.82,8,Atrasado
Emanuella da Conceição,11920.6,733,74,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Gonçalves,Eletrodomésticos,2025-05-18,11:28,Sim,2069.01,8,Pendente
Leandro Rios,4870.29,958,49,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Santos Martins S/A,Loja de Roupas,2025-06-04,08:02,Não,1679.09,5,Pendente
Rodrigo Santos,15869.14,710,65,Caruaru,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Oliveira,Farmácia,2025-04-13,18:17,Sim,2068.17,2,Atrasado
Luigi Azevedo,8212.19,904,78,Santos,SP,Presencial,Venda física via maquininha no balcão da loja.,Moraes,Eletrodomésticos,2025-04-04,17:47,Não,1042.61,8,Pago
Esther Peixoto,21350.02,927,78,Búzios,RJ,Presencial,Venda física via maquininha no balcão da loja.,Nogueira Nunes - EI,Supermercado,2026-01-10,15:36,Sim,1337.56,5,Pendente
Sophie Azevedo,18105.8,311,29,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Novaes e Filhos,Supermercado,2025-08-10,15:46,Sim,1706.18,1,Atrasado
Thales Almeida,2789.79,402,62,Porto Alegre,RS,Presencial,Venda física via maquininha no balcão da loja.,da Mota,Farmácia,2025-12-14,08:45,Sim,3157.84,5,Pendente
Laís da Costa,11881.32,600,29,Recife,PE,Presencial,Venda física via maquininha no balcão da loja.,Rocha - EI,Livraria,2025-05-26,08:39,Não,2987.23,8,Atrasado
Apollo Machado,5930.24,384,40,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Costa,Farmácia,2025-09-18,09:22,Não,734.56,11,Pago
Pedro Pereira,11937.5,545,20,Porto Alegre,RS,Presencial,Venda física via maquininha no balcão da loja.,da Rosa Nogueira Ltda.,Eletrodomésticos,2026-03-12,09:54,Não,2651.66,2,Pago
Ayla Andrade,12739.18,825,31,Petrópolis,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Freitas Ltda.,Supermercado,2025-09-20,00:27,Sim,631.24,5,Pendente
Clara Pires,9027.08,478,34,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Silva,Restaurante,2026-04-03,16:23,Não,721.73,12,Pago
Sofia Ribeiro,17523.75,726,34,Curitiba,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Novais,Livraria,2026-01-20,07:59,Não,612.83,11,Pago
Maya Rios,1519.3,547,48,Niterói,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Pires S.A.,Supermercado,2025-05-13,17:31,Não,1963.56,7,Atrasado
Bárbara Montenegro,22151.9,715,18,Búzios,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Marques,Farmácia,2025-04-05,06:35,Sim,1239.74,2,Atrasado
Ana Julia Rodrigues,4208.82,380,70,Campinas,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,das Neves,Loja de Roupas,2025-10-12,22:05,Sim,1504.11,2,Pendente
Yuri Siqueira,11391.34,832,74,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,da Luz S/A,Livraria,2026-03-08,21:59,Sim,2123.44,11,Pago
Diego Mendonça,22646.34,363,47,Caxias do Sul,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novaes Pacheco - EI,Loja de Roupas,2025-09-03,17:23,Não,3399.88,1,Pago
Luara das Neves,6609.93,761,57,Campinas,SP,Presencial,Venda física via maquininha no balcão da loja.,Pires,Farmácia,2026-02-11,16:33,Não,1748.2,8,Pendente
Paulo Borges,18898.51,443,31,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Barbosa,Restaurante,2025-09-22,10:50,Não,1998.88,5,Pendente
Mariah Sá,5894.07,879,41,Caxias do Sul,RS,Presencial,Venda física via maquininha no balcão da loja.,das Neves,Loja de Roupas,2025-09-16,14:08,Não,3203.9,1,Pago
Emilly Casa Grande,3772.71,689,20,Rio de Janeiro,RJ,Presencial,Venda física via maquininha no balcão da loja.,Moraes - EI,Eletrodomésticos,2026-03-02,09:37,Não,3399.08,12,Atrasado
Igor Rios,1869.25,515,55,Curitiba,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Ramos Alves S/A,Loja de Roupas,2025-10-14,09:11,Não,432.73,6,Pago
Noah Araújo,3526.57,306,38,Maringá,PR,Presencial,Venda física via maquininha no balcão da loja.,Marques S/A,Supermercado,2025-07-05,13:29,Sim,1697.65,9,Pendente
Marcos Vinicius Cavalcante,19512.71,569,34,Belo Horizonte,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Novais,Supermercado,2025-12-22,19:47,Não,1079.2,7,Pago
Agatha Souza,20460.35,705,23,Rio de Janeiro,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Moura Peixoto S.A.,Restaurante,2025-07-22,02:08,Não,2238.62,1,Pendente
Ana Cecília Vargas,24360.9,389,44,Maringá,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Rios,Loja de Roupas,2026-01-01,16:50,Não,3023.45,8,Pendente
Ana Liz Fonseca,19008.4,352,71,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Sousa e Filhos,Farmácia,2026-02-01,14:21,Sim,1294.58,3,Atrasado
Camila Campos,12331.47,628,31,Caxias do Sul,RS,Presencial,Venda física via maquininha no balcão da loja.,Sampaio e Filhos,Eletrodomésticos,2025-05-04,10:40,Sim,460.58,10,Pago
Dante da Conceição,12072.2,674,68,Porto Seguro,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Dias e Filhos,Restaurante,2025-08-05,05:08,Não,1623.17,3,Pago
Ryan Melo,5415.74,325,30,Curitiba,PR,Presencial,Venda física via maquininha no balcão da loja.,Pinto,Livraria,2025-09-13,16:17,Sim,1365.5,10,Pago
Marina Martins,20177.42,784,71,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Rezende,Farmácia,2025-10-18,10:04,Sim,2141.25,2,Pago
Ravy Guerra,1731.03,476,44,Ouro Preto,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Vargas Caldeira e Filhos,Restaurante,2025-12-12,07:15,Não,617.72,7,Atrasado
Valentina Fonseca,8673.06,380,29,Florianópolis,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Cavalcante Costela Ltda.,Farmácia,2025-09-19,06:24,Não,2767.85,8,Pago
Elisa da Mota,20830.29,692,63,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Câmara,Livraria,2025-05-13,17:51,Não,724.97,7,Pago
Lucas Gabriel Casa Grande,5829.22,850,33,Curitiba,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Fernandes - ME,Eletrodomésticos,2025-06-11,22:32,Não,2458.21,3,Pendente
Bernardo Sousa,19199.11,394,22,Florianópolis,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Fernandes,Livraria,2026-01-06,10:23,Não,3446.28,4,Pendente
Eloah Alves,23334.12,374,37,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Aragão S/A,Supermercado,2025-07-08,01:44,Não,2420.08,5,Pendente
Bento Silva,11007.25,307,74,Uberlândia,MG,Presencial,Venda física via maquininha no balcão da loja.,Fogaça Freitas e Filhos,Restaurante,2025-08-31,09:39,Sim,2335.8,12,Pago
Isadora Sampaio,17687.6,533,61,Olinda,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Ribeiro,Restaurante,2025-05-31,09:25,Sim,2437.68,7,Pago
Catarina Novais,20275.95,317,55,Porto Alegre,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Montenegro - ME,Livraria,2025-07-05,12:29,Sim,3054.82,7,Pago
Henry Gabriel Macedo,8323.39,912,42,Búzios,RJ,Presencial,Venda física via maquininha no balcão da loja.,Casa Grande Carvalho S/A,Supermercado,2025-10-01,14:53,Não,3470.87,4,Pago
Leandro da Mata,5184.9,387,26,Joinville,SC,Presencial,Venda física via maquininha no balcão da loja.,Machado,Livraria,2026-01-29,08:08,Não,2412.45,4,Atrasado
Pedro Lucas Moraes,17765.53,444,46,São Paulo,SP,Presencial,Venda física via maquininha no balcão da loja.,Cunha,Eletrodomésticos,2025-05-22,09:19,Não,3104.04,12,Pago
Maria Liz Pacheco,6177.02,842,33,Recife,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Conceição Souza S.A.,Supermercado,2026-02-26,13:17,Não,2643.12,12,Pendente
Ana Liz Ribeiro,8515.91,399,22,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Castro S.A.,Restaurante,2026-03-02,09:53,Não,1601.53,3,Pendente
Mariane Macedo,8714.85,681,44,Petrópolis,RJ,Presencial,Venda física via maquininha no balcão da loja.,Nunes,Farmácia,2025-05-05,16:59,Não,2217.51,4,Pago
Mariana Souza,6685.57,780,79,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Silva,Eletrodomésticos,2025-07-13,15:55,Sim,2068.38,4,Atrasado
Ana Luiza Santos,15569.37,414,45,Olinda,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Souza,Livraria,2025-09-08,12:17,Não,3158.04,5,Pendente
Emilly Freitas,7860.42,344,68,Gramado,RS,Presencial,Venda física via maquininha no balcão da loja.,Borges Pires - ME,Farmácia,2025-09-30,12:53,Não,2656.12,2,Pendente
Oliver Caldeira,5762.26,470,40,Porto Seguro,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cassiano Camargo e Filhos,Supermercado,2026-04-04,13:55,Sim,585.61,12,Pago
Antônio Sá,19714.27,801,49,Florianópolis,SC,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Rocha Ltda.,Livraria,2025-07-18,10:11,Não,1212.72,3,Pago
Maria Sophia Marques,10443.59,737,65,Londrina,PR,Presencial,Venda física via maquininha no balcão da loja.,Mendonça,Loja de Roupas,2025-05-22,08:53,Não,2681.72,4,Atrasado
Mariah Oliveira,2240.72,431,26,Salvador,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Martins - ME,Supermercado,2026-01-26,09:32,Não,2931.73,8,Pendente
Gael Lopes,4846.78,823,19,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Machado S.A.,Loja de Roupas,2025-11-16,16:27,Sim,3024.43,8,Pago
Gabrielly Vargas,6132.59,349,73,Caruaru,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cavalcante,Eletrodomésticos,2025-05-23,05:25,Não,288.36,11,Atrasado
Gabriel Barbosa,9742.84,383,56,Campinas,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Costela S/A,Restaurante,2026-02-16,12:46,Não,852.83,9,Pago
Beatriz Abreu,15952.92,744,59,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Santos,Supermercado,2025-04-21,18:52,Não,1258.44,3,Pendente
Cauê Lopes,10045.91,772,68,Porto Seguro,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Macedo Cardoso e Filhos,Livraria,2025-12-10,14:11,Não,2971.79,1,Pago
Luísa Souza,11282.33,743,35,Salvador,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Caldeira,Eletrodomésticos,2025-05-02,10:14,Não,3336.06,6,Atrasado
Manuella Mendes,10669.35,368,62,Porto Seguro,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Caldeira,Restaurante,2025-06-11,07:23,Não,446.2,5,Pago
Maria Fernanda Almeida,24557.79,552,77,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Sales Vieira S/A,Loja de Roupas,2026-03-15,15:31,Sim,487.36,1,Atrasado
Levi Ferreira,16939.17,801,40,Salvador,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Ribeiro Ltda.,Eletrodomésticos,2026-01-16,21:41,Não,1818.34,6,Pago
Leandro Rezende,2581.82,314,51,Uberlândia,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Siqueira,Eletrodomésticos,2025-09-25,15:04,Não,1774.02,12,Atrasado
Maria Isis Sales,19131.98,488,69,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,da Conceição - EI,Restaurante,2025-10-12,08:41,Sim,1632.44,2,Atrasado
Heloísa Leão,8861.63,661,23,São José dos Campos,SP,Presencial,Venda física via maquininha no balcão da loja.,Cavalcante - ME,Restaurante,2025-07-15,14:55,Não,1180.32,7,Atrasado
Lara Souza,11823.4,638,53,Feira de Santana,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Costa - ME,Supermercado,2025-05-01,00:54,Não,404.26,10,Pago
Danilo da Conceição,20688.33,546,47,Rio de Janeiro,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Casa Grande,Livraria,2025-08-07,20:04,Não,2538.09,10,Pago
Francisco Rezende,8791.48,468,50,Florianópolis,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Rodrigues,Restaurante,2025-09-29,05:48,Não,428.69,7,Atrasado
Maria Fernanda Sousa,13968.74,899,45,Uberlândia,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Araújo S/A,Loja de Roupas,2025-10-08,18:43,Não,1501.64,3,Atrasado
Helena Nunes,24844.95,746,28,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Marques Ltda.,Loja de Roupas,2025-08-01,03:54,Não,1388.5,8,Atrasado
Isaque da Cunha,11807.95,446,45,São Paulo,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Araújo Moraes Ltda.,Farmácia,2025-06-10,13:57,Não,2640.49,4,Atrasado
Ian da Mata,22376.31,306,74,São Paulo,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Marques,Loja de Roupas,2025-04-08,03:17,Não,2111.45,5,Pendente
Joaquim Machado,15684.5,681,70,São Paulo,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Mata da Luz Ltda.,Farmácia,2025-07-20,14:04,Sim,2715.03,4,Atrasado
Bianca da Rosa,6194.85,984,70,Olinda,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Cavalcanti Vieira - ME,Supermercado,2025-06-17,14:24,Não,2463.71,4,Pendente
