Nome_Cliente,Salario_Mensal,Score_Credito,Idade,Cidade,Estado,Metodo_Pagamento,Descricao_Pagamento,Nome_Loja,Categoria_Loja,Data_Compra,Hora_Compra,Final_de_Semana,Valor_Compra,Parcelas,Status_Pagamento
Gabrielly Abreu,7130.17,596,46,Ouro Preto,MG,Presencial,Venda física via maquininha no balcão da loja.,Pacheco,Livraria,2026-02-16,11:46,Não,3164.3,9,Atrasado
Isabel da Luz,22001.93,363,75,Joinville,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Casa Grande,Restaurante,2025-08-19,11:19,Não,954.76,9,Pendente
Maria Laura Camargo,16922.84,743,41,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,da Rocha S.A.,Eletrodomésticos,2025-08-29,08:04,Não,1942.52,7,Pago
Renan Araújo,11053.08,875,71,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Fonseca Ferreira S/A,Loja de Roupas,2025-08-24,11:24,Sim,125.14,10,Atrasado
Joana Nogueira,9467.85,314,60,Niterói,RJ,Presencial,Venda física via maquininha no balcão da loja.,Machado,Supermercado,2025-06-25,13:57,Não,1614.04,2,Atrasado
Diogo Nascimento,4117.93,576,57,Joinville,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Vargas,Restaurante,2025-08-07,05:34,Não,3122.69,12,Atrasado
Zoe da Rocha,18028.59,928,37,Feira de Santana,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Souza Vargas e Filhos,Livraria,2025-06-29,18:40,Sim,1483.72,10,Atrasado
Maria Sophia da Conceição,20178.61,895,20,Recife,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Rios Andrade e Filhos,Supermercado,2025-12-24,01:50,Não,1311.71,11,Pago
Clarice Novaes,4302.92,923,79,Curitiba,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Ribeiro,Loja de Roupas,2025-09-07,20:42,Sim,656.54,12,Atrasado
Gabriel Correia,22714.27,378,39,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Monteiro Montenegro S.A.,Eletrodomésticos,2025-09-16,17:46,Não,1031.1,2,Atrasado
Pedro Henrique Garcia,22389.94,803,19,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Costa,Eletrodomésticos,2025-10-09,05:14,Não,631.37,3,Pendente
Mirella Pimenta,3230.91,870,45,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Campos Lima e Filhos,Livraria,2025-08-15,00:29,Não,2613.88,7,Atrasado
Luara Vargas,11082.76,738,30,Caruaru,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Araújo,Farmácia,2025-05-08,20:26,Não,1518.28,5,Pago
Caleb Carvalho,15036.02,418,56,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Moraes,Eletrodomésticos,2026-03-24,02:26,Não,336.21,3,Pendente
João Vitor Cavalcante,7926.61,683,20,Niterói,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Mendonça S.A.,Eletrodomésticos,2025-07-28,08:28,Não,1419.21,6,Pago
Hadassa Sales,6977.56,644,49,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Gomes Ltda.,Eletrodomésticos,2025-07-24,13:00,Não,1013.37,5,Pendente
Isis Peixoto,20244.36,490,60,Caxias do Sul,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,da Conceição da Costa S.A.,Livraria,2025-10-28,18:30,Não,2754.0,3,Atrasado
Eloah Ramos,17277.34,467,74,Búzios,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Campos,Loja de Roupas,2025-12-17,15:40,Não,1056.13,6,Atrasado
Yago Almeida,13167.94,781,77,Gramado,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Castro S.A.,Livraria,2026-02-25,06:37,Não,1101.07,5,Pendente
Renan Caldeira,5449.87,435,32,Santos,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Porto Souza e Filhos,Supermercado,2025-06-22,04:38,Sim,2547.62,4,Atrasado
Breno da Luz,5212.16,471,30,Porto Alegre,RS,Presencial,Venda física via maquininha no balcão da loja.,Lopes S/A,Eletrodomésticos,2026-04-08,13:50,Não,2345.91,2,Atrasado
Yuri Pimenta,5071.12,652,70,Uberlândia,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Lopes,Restaurante,2025-10-06,15:18,Não,2372.96,9,Pago
Calebe Oliveira,24508.28,947,22,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Câmara Dias e Filhos,Loja de Roupas,2026-02-23,01:17,Não,2960.95,11,Pendente
Nathan Brito,20251.05,622,57,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Pinto Farias Ltda.,Eletrodomésticos,2025-10-02,03:18,Não,531.6,2,Atrasado
Aurora Albuquerque,9235.63,600,51,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Ferreira,Supermercado,2025-04-19,05:40,Sim,1036.48,2,Atrasado
Ana Sophia Carvalho,1942.41,767,60,Londrina,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Marques,Livraria,2025-08-15,09:57,Não,167.54,1,Pago
Larissa Souza,19031.39,837,56,Ouro Preto,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Albuquerque - ME,Farmácia,2025-06-21,06:36,Sim,2615.13,3,Pago
Guilherme Montenegro,12746.97,663,58,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Novais S.A.,Livraria,2026-03-27,09:07,Não,1991.62,2,Pago
Juliana da Cunha,10998.43,315,79,Joinville,SC,Presencial,Venda física via maquininha no balcão da loja.,Martins,Supermercado,2025-12-20,14:04,Sim,2433.33,8,Pago
Evelyn Carvalho,11839.77,811,78,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,da Rosa,Livraria,2025-04-16,13:06,Não,1021.82,4,Atrasado
Elisa Cavalcante,12663.31,656,49,Gramado,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Santos,Farmácia,2025-08-26,14:50,Não,1799.5,5,Pago
Joana Nogueira,23038.09,884,69,São Paulo,SP,Presencial,Venda física via maquininha no balcão da loja.,Melo,Farmácia,2026-03-17,16:13,Não,495.84,7,Atrasado
Ana Vitória Pastor,11266.57,714,30,São Paulo,SP,Presencial,Venda física via maquininha no balcão da loja.,Santos S/A,Supermercado,2026-01-10,13:19,Sim,1825.28,8,Pago
Vinicius Pacheco,4682.87,879,38,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Martins,Livraria,2025-08-09,09:32,Sim,375.41,5,Atrasado
Heitor Albuquerque,21703.54,848,57,São José dos Campos,SP,Presencial,Venda física via maquininha no balcão da loja.,Borges,Loja de Roupas,2025-07-06,12:01,Sim,3066.83,2,Pago
Dante Sá,15711.17,476,38,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cavalcanti Cunha - ME,Livraria,2025-07-12,04:00,Sim,781.06,6,Pendente
Maria Cecília Pimenta,14628.37,443,28,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,da Mota,Loja de Roupas,2025-08-13,03:53,Não,2318.02,7,Pago
Laís Rocha,8211.27,959,79,Londrina,PR,Presencial,Venda física via maquininha no balcão da loja.,das Neves,Restaurante,2025-06-20,08:58,Não,3273.58,3,Atrasado
Vinicius Duarte,14932.0,456,44,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Cassiano,Supermercado,2025-07-23,12:04,Não,1350.65,10,Pendente
Milena Souza,7432.68,478,51,Curitiba,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Rezende,Livraria,2025-12-16,20:18,Não,3021.46,11,Pendente
Miguel Guerra,17780.64,688,37,Belo Horizonte,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,da Conceição - ME,Supermercado,2025-05-26,22:25,Não,552.26,7,Atrasado
Luiz Otávio Oliveira,11764.46,533,31,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Silveira,Loja de Roupas,2025-12-24,05:18,Não,2745.95,10,Atrasado
Maria Alice Nogueira,14050.64,629,60,São José dos Campos,SP,Presencial,Venda física via maquininha no balcão da loja.,Rodrigues,Eletrodomésticos,2025-08-05,17:59,Não,2413.46,8,Pendente
Stephany Almeida,3248.89,522,30,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Moura,Supermercado,2025-12-28,07:00,Sim,321.38,9,Pago
Maria Flor da Cruz,3044.43,318,59,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Andrade,Supermercado,2025-07-30,17:18,Não,243.82,10,Atrasado
Rafael Marques,14799.64,626,44,Rio de Janeiro,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Rosa,Eletrodomésticos,2025-10-04,20:38,Sim,1996.96,8,Pago
Miguel Abreu,21249.87,387,79,Búzios,RJ,Presencial,Venda física via maquininha no balcão da loja.,Siqueira,Restaurante,2025-04-27,13:49,Sim,79.44,1,Pago
Nathan da Conceição,13022.28,413,34,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Vargas,Supermercado,2026-02-16,03:59,Não,1338.28,9,Pago
Helena Novais,9926.64,348,58,Florianópolis,SC,Presencial,Venda física via maquininha no balcão da loja.,da Costa da Rocha e Filhos,Farmácia,2025-05-29,16:12,Não,2595.51,4,Atrasado
Leonardo Andrade,9387.94,818,50,Santos,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,das Neves,Supermercado,2026-03-14,23:58,Sim,2903.38,12,Pendente
Liz Costa,1570.6,987,19,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Sampaio,Restaurante,2025-06-03,21:43,Não,2028.97,11,Atrasado
Vitor Hugo Lima,9256.64,852,19,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Costela,Livraria,2025-09-24,03:58,Não,1260.94,5,Pago
Erick Aparecida,13257.22,429,24,Niterói,RJ,Presencial,Venda física via maquininha no balcão da loja.,Lima,Livraria,2026-01-04,09:29,Sim,3037.48,12,Atrasado
Sabrina da Cruz,14912.69,489,46,São Paulo,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Pereira,Livraria,2025-10-17,00:44,Não,2665.45,6,Atrasado
Breno Casa Grande,21684.91,801,74,Gramado,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Montenegro,Livraria,2025-06-01,08:47,Sim,2709.62,4,Pago
Sarah Sampaio,8294.81,928,78,Belo Horizonte,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Correia,Supermercado,2025-12-13,08:26,Sim,2160.34,8,Atrasado
Daniel Cunha,10865.02,771,50,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Moura,Restaurante,2025-08-31,07:44,Sim,1507.68,6,Atrasado
Augusto Lima,13617.09,485,79,Uberlândia,MG,Presencial,Venda física via maquininha no balcão da loja.,Câmara,Loja de Roupas,2025-08-13,08:57,Não,3202.46,10,Pago
Camila Garcia,19791.13,990,30,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Rezende,Eletrodomésticos,2025-04-30,12:31,Não,2715.66,2,Pago
Ryan Moreira,5254.18,663,22,Belo Horizonte,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Barros,Livraria,2025-12-27,09:14,Sim,2267.24,12,Atrasado
Isabela Porto,3863.1,305,68,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Marques,Eletrodomésticos,2025-09-07,15:33,Sim,1332.24,9,Pendente
Otto Aparecida,6728.53,403,33,Caxias do Sul,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Cassiano,Supermercado,2025-08-21,10:52,Não,1571.77,1,Pendente
Luiz Fernando Freitas,6051.77,454,68,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Barbosa,Supermercado,2026-02-08,09:31,Sim,571.96,4,Pendente
Caio Andrade,15226.37,974,33,Gramado,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,da Mata,Farmácia,2025-11-20,18:03,Não,2359.93,6,Pago
Rebeca da Paz,5014.16,313,66,Niterói,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Macedo,Eletrodomésticos,2026-03-23,22:52,Não,1380.63,10,Atrasado
Luiz Felipe da Paz,8063.51,657,74,Campinas,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Brito,Farmácia,2026-03-25,04:04,Não,918.68,8,Atrasado
Olivia Vasconcelos,23018.37,476,32,Recife,PE,Presencial,Venda física via maquininha no balcão da loja.,Sá e Filhos,Livraria,2025-08-18,11:54,Não,1100.3,8,Atrasado
Alícia Barbosa,5249.47,668,57,Londrina,PR,Presencial,Venda física via maquininha no balcão da loja.,Martins S/A,Livraria,2025-10-12,16:12,Sim,348.14,8,Pendente
Anthony Gabriel Azevedo,14889.59,476,68,Uberlândia,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Souza S.A.,Supermercado,2025-05-09,05:24,Não,2871.61,8,Atrasado
Aylla Cardoso,18768.1,570,23,Recife,PE,Presencial,Venda física via maquininha no balcão da loja.,Cardoso,Restaurante,2026-03-24,11:23,Não,1304.0,11,Pago
Catarina Caldeira,24107.49,878,21,Porto Seguro,BA,Presencial,Venda física via maquininha no balcão da loja.,Novaes,Livraria,2025-10-14,11:46,Não,290.35,5,Pendente
Anthony Gabriel Vasconcelos,2605.7,363,51,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,da Rosa - ME,Eletrodomésticos,2025-07-16,12:51,Não,1467.47,12,Pendente
Pedro Miguel Machado,16071.47,558,68,São Paulo,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Siqueira,Loja de Roupas,2025-10-23,04:20,Não,3210.23,9,Pendente
Enzo Gabriel Azevedo,14510.86,485,51,Feira de Santana,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Casa Grande Fernandes Ltda.,Loja de Roupas,2025-05-13,19:24,Não,617.67,1,Pago
Bruna da Luz,24752.36,673,34,Uberlândia,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novaes da Cunha S.A.,Farmácia,2026-03-13,14:24,Não,2645.13,5,Atrasado
Ana Vitória Costa,5148.46,531,78,São Paulo,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Casa Grande,Supermercado,2026-02-09,23:35,Não,232.74,6,Atrasado
Isis Pimenta,2400.59,769,33,Maringá,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Moura Ltda.,Supermercado,2025-08-29,23:34,Não,2529.05,9,Pago
Ayla Farias,13692.73,669,75,Caxias do Sul,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Rocha Oliveira e Filhos,Farmácia,2025-11-26,12:29,Não,2523.24,2,Pendente
Guilherme Moura,7071.9,505,75,Uberlândia,MG,Presencial,Venda física via maquininha no balcão da loja.,Moreira Cavalcanti - ME,Supermercado,2026-01-05,09:25,Não,710.18,1,Pendente
Ryan Melo,6930.06,625,21,Belo Horizonte,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Sá,Supermercado,2025-08-17,14:09,Sim,1410.37,1,Atrasado
Dom Castro,21127.26,459,62,Niterói,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,da Paz,Supermercado,2025-11-01,17:59,Sim,1235.71,3,Atrasado
Antony Fonseca,1420.08,579,57,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Gonçalves Ltda.,Supermercado,2025-12-13,08:35,Sim,662.2,6,Pendente
Manuella Ramos,8944.83,933,65,Maringá,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Vargas - EI,Farmácia,2025-08-10,23:26,Sim,1800.64,10,Pago
Ana Julia da Cunha,24809.83,468,51,Gramado,RS,Presencial,Venda física via maquininha no balcão da loja.,Pimenta Camargo e Filhos,Loja de Roupas,2025-11-13,08:48,Não,3271.07,2,Atrasado
Pedro Henrique Farias,19388.48,961,39,Caxias do Sul,RS,Presencial,Venda física via maquininha no balcão da loja.,da Costa Melo Ltda.,Supermercado,2025-11-30,10:18,Sim,3157.19,4,Pendente
Helena Gomes,10820.13,698,18,Belo Horizonte,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novaes S/A,Farmácia,2026-03-12,15:19,Não,1964.34,8,Pendente
Vinícius Fernandes,5575.58,638,36,Olinda,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Mendonça,Eletrodomésticos,2025-10-31,12:41,Não,468.4,3,Pendente
Francisco Silva,21031.68,570,48,Londrina,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Ferreira Moraes S/A,Supermercado,2026-03-20,23:19,Não,482.13,11,Pago
João Vitor Pires,14460.69,953,30,São Paulo,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Luz,Supermercado,2026-03-05,11:16,Não,1297.88,8,Pago
Lucas Gabriel da Paz,7397.61,832,77,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Ferreira Sá - EI,Loja de Roupas,2025-08-22,09:35,Não,594.79,11,Atrasado
Thomas Aragão,17194.27,548,39,Petrópolis,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Alves Brito S/A,Eletrodomésticos,2025-11-16,03:05,Sim,3278.02,4,Pendente
Otávio Pimenta,6056.67,898,45,Petrópolis,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,da Costa,Eletrodomésticos,2025-11-18,17:58,Não,986.42,4,Pago
Isabela Andrade,20479.83,754,21,Ouro Preto,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Mata Nascimento Ltda.,Loja de Roupas,2025-10-06,01:48,Não,39.87,1,Pendente
José Pedro Câmara,2622.39,306,27,Joinville,SC,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Porto,Supermercado,2026-04-05,01:28,Sim,2617.53,4,Pago
Lorena Albuquerque,13872.98,762,18,Santos,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Mendes Camargo - EI,Restaurante,2025-09-22,21:33,Não,1832.67,4,Pago
Luiz Felipe Castro,6258.18,482,26,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Gonçalves,Supermercado,2025-07-28,17:21,Não,699.22,1,Pendente
Ana Carolina Aragão,16524.51,564,73,Salvador,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Silva,Eletrodomésticos,2026-03-22,17:53,Sim,2410.95,8,Pago
Benjamim Fonseca,3131.33,847,61,Campinas,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Moura,Restaurante,2025-12-03,20:31,Não,1971.01,12,Pago
Heloísa Porto,24035.49,753,43,Salvador,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Rocha,Restaurante,2025-12-27,14:22,Sim,3001.93,2,Pago
Ágatha Farias,16581.99,621,28,São José dos Campos,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Câmara Moreira - EI,Livraria,2025-12-24,22:02,Não,1599.79,11,Atrasado
Mateus Dias,6497.56,456,79,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Barbosa Gomes - ME,Loja de Roupas,2025-08-08,09:22,Não,415.53,5,Atrasado
Gabriel Guerra,13472.51,400,21,Curitiba,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Almeida,Livraria,2025-12-03,23:48,Não,832.75,2,Pendente
Laura Barros,6391.49,320,46,Brasília,DF,Presencial,Venda física via maquininha no balcão da loja.,Alves Lima S.A.,Farmácia,2025-09-17,08:35,Não,2294.89,5,Atrasado
Antonella Moraes,7531.75,515,28,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Azevedo Mendonça - ME,Livraria,2025-09-02,22:04,Não,144.65,3,Atrasado
Cecilia Moraes,24521.85,436,72,Ouro Preto,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Gomes,Eletrodomésticos,2025-09-22,07:19,Não,2625.03,5,Pago
Pedro Henrique Silva,5218.35,741,61,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Cardoso S.A.,Farmácia,2025-11-16,17:03,Sim,216.3,6,Pendente
Benjamin da Rosa,1976.46,764,66,Feira de Santana,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novais S/A,Livraria,2025-07-10,13:27,Não,2481.67,6,Atrasado
Matteo Cavalcante,10538.94,683,35,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Melo Silveira - ME,Restaurante,2025-12-29,10:39,Não,2028.31,6,Pago
Mirella Borges,3100.08,883,64,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,da Mata Mendes Ltda.,Livraria,2026-01-17,03:41,Sim,1119.74,6,Pendente
Hadassa Dias,16662.92,384,18,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Câmara,Farmácia,2025-10-17,13:50,Não,1558.61,7,Pago
Arthur Costa,3558.48,426,27,Campinas,SP,Online,Compra realizada via site ou aplicativo próprio da marca.,Freitas,Livraria,2025-04-18,22:01,Não,505.69,10,Atrasado
Asafe da Mata,22194.42,648,39,São Paulo,SP,Presencial,Venda física via maquininha no balcão da loja.,da Luz,Eletrodomésticos,2026-03-08,14:31,Sim,2585.76,5,Pendente
Davi Luiz Alves,11126.58,607,68,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Sá Montenegro e Filhos,Supermercado,2026-03-25,11:01,Não,645.85,12,Atrasado
Sophia Cirino,16232.07,737,66,Londrina,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Pires,Livraria,2025-09-19,19:35,Não,611.1,12,Pago
André Rezende,2955.05,618,28,Ouro Preto,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Cirino,Restaurante,2026-03-07,06:35,Sim,3485.25,1,Pago
Dom Macedo,4691.94,638,56,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Rezende,Restaurante,2025-05-08,12:53,Não,890.21,5,Pendente
Ester da Cunha,15622.09,569,48,Caruaru,PE,Presencial,Venda física via maquininha no balcão da loja.,Costa Costa - ME,Eletrodomésticos,2025-10-17,09:55,Não,3107.77,11,Pendente
Maria Júlia da Mata,6726.74,739,47,Londrina,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Pimenta Ltda.,Supermercado,2025-09-11,07:01,Não,1019.62,6,Pago
Anna Liz Andrade,17387.59,600,23,Campinas,SP,Presencial,Venda física via maquininha no balcão da loja.,Andrade,Restaurante,2026-02-15,17:08,Sim,156.8,11,Pendente
